data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
10 de março de 2025;Muito bom;A cama de casal é bem grande,chuveiro é bom , café da manhã com muitas opções;Quarto é bem antigo, e qdo chegamos ainda não haviam quartos disponíveis e já havia passado do horário do check in;8;;;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2025;Estadia boa, porém, achei que café da manhã poderia ser melhor. Tv e camas do quarto com faltande manutenção. Localizaçã;Gostei da localização e limpeza;Camas, lençóis e Tv velhos.;8;;;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2025;Muito bom;O quarto é muito confortável, as camas são ótimos e a ducha do chuveiro maravilhosa. Os colaboradores são solícitos e compreensíveis, o que deixa a experiencia mais cativante. A localização é ótima, a um quarteirão da praia de Boa viagem e com um supermercado na frente, a 10 min do aeroporto e com fácil saída pra praia de Porto de Galinhas, por exemplo.;O café da manhã deixa a desejar! São poucas opções e varidades;8;;;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2025;Recepção desorganizada e despreparada no feriado de carnaval, com atrasos na acomodação, erro na entrega de chaves, pisc;Boa localização e quartos limpos.;Recepção muito má preparada. No feriado de carnaval havia uma quantidade alta de hóspedes, e muitos não conseguiram ser acomodados no horário correto. Minha entrada estava programada para as 14h, mas só consegui entrar perto das 17h, por falta de organização. Inclusive, recebi uma chave de um quarto que já estava ocupado! Depois que avisei, eles me trocaram de quarto. Ainda assim, fiquei preocupadíssimo achando que pudessem errar de novo e oferecer a chave do meu quarto para outra pessoa. As opções de conveniência também não estavam disponíveis. A piscina estava bem suja e nenhuma das duas esteiras da academia estava funcionando.;6;;;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2025;Recepção desorganizada e despreparada no feriado de carnaval, com atrasos na acomodação, erro na entrega de chaves, pisc;Boa localização com quartos limpos.;Recepção muito má preparada. No feriado de carnaval havia uma quantidade alta de hóspedes, e muitos não conseguiram ser acomodados no horário correto. Minha entrada estava programada para as 14h, mas só consegui entrar perto das 17h, por falta de organização. Inclusive, recebi uma chave de um quarto que já estava ocupado! Depois que avisei, eles me trocaram de quarto. Ainda assim, fiquei preocupadíssimo achando que pudessem errar de novo e oferecer a chave do meu quarto para outra pessoa. As opções de conveniência também não estavam disponíveis. A piscina estava bem suja e nenhuma das duas esteiras da academia estava funcionando.;6;;;;;;;;;;;;;;;;;;;;;;;;;
9 de março de 2025;Satisfatório;Cama confortável.;Ar condicionado pingando;6;;;;;;;;;;;;;;;;;;;;;;;;;
9 de março de 2025;Valeu a pena pelo custo benefício;Cama confortável, quarto grande, mesa de refeições;Estrutura um pouco antiga;7;;;;;;;;;;;;;;;;;;;;;;;;;
9 de março de 2025;Satisfatório;Atendimento pessimo dos funcionários. Sem serviço de quarto, funcionarios principalmente noturnos , pessimos e grosseiros;;6;;;;;;;;;;;;;;;;;;;;;;;;;
8 de março de 2025;Ótimo custo benedicio;Boa localização, bom café da manhã.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Valeu pelo custo mais baixo para a região.""";;7;;;;;;;;;;;;;;;;;;;;;;;;;;;
